,JPN,USA,FRA,ITA,DEU,ESP,KOR,SCH,TCH
28,すなかけ,Sand Attack,Jet de Sable,Turbosabbia,Sandwirbel,Ataque Arena,모래뿌리기,泼沙,潑沙
29,ずつき,Headbutt,Coup d'Boule,Bottintesta,Kopfnuss,Golpe Cabeza,박치기,头锤,頭錘
30,つのでつく,Horn Attack,Koud'Korne,Incornata,Hornattacke,Cornada,뿔찌르기,角撞,角撞
31,みだれづき,Fury Attack,Furie,Furia,Furienschlag,Ataque Furia,마구찌르기,乱击,亂擊
32,つのドリル,Horn Drill,Empal'Korne,Perforcorno,Hornbohrer,Perforador,뿔드릴,角钻,角鑽
33,たいあたり,Tackle,Charge,Azione,Tackle,Placaje,몸통박치기,撞击,撞擊
34,のしかかり,Body Slam,Plaquage,Corposcontro,Bodyslam,Golpe Cuerpo,누르기,泰山压顶,泰山壓頂
35,まきつく,Wrap,Ligotage,Avvolgibotta,Wickel,Constricción,김밥말이,紧束,緊束
36,とっしん,Take Down,Bélier,Riduttore,Bodycheck,Derribo,돌진,猛撞,猛撞
37,あばれる,Thrash,Mania,Colpo,Fuchtler,Saña,난동부리기,大闹一番,大鬧一番
38,すてみタックル,Double-Edge,Damoclès,Sdoppiatore,Risikotackle,Doble Filo,이판사판태클,舍身冲撞,捨身衝撞
39,しっぽをふる,Tail Whip,Mimi-Queue,Colpocoda,Rutenschlag,Látigo,꼬리흔들기,摇尾巴,搖尾巴
40,どくばり,Poison Sting,Dard-Venin,Velenospina,Giftstachel,Picotazo Veneno,독침,毒针,毒針
41,ダブルニードル,Twineedle,Double Dard,Doppio Ago,Duonadel,Doble Ataque,더블니들,双针,雙針
42,ミサイルばり,Pin Missile,Dard-Nuée,Missilspillo,Nadelrakete,Pin Misil,바늘미사일,飞弹针,飛彈針
43,にらみつける,Leer,Groz'Yeux,Fulmisguardo,Silberblick,Malicioso,째려보기,瞪眼,瞪眼
44,かみつく,Bite,Morsure,Morso,Biss,Mordisco,물기,咬住,咬住
45,なきごえ,Growl,Rugissement,Ruggito,Heuler,Gruñido,울음소리,叫声,叫聲
46,ほえる,Roar,Hurlement,Boato,Brüller,Rugido,울부짖기,吼叫,吼叫
47,うたう,Sing,Berceuse,Canto,Gesang,Canto,노래하기,唱歌,唱歌
48,ちょうおんぱ,Supersonic,Ultrason,Supersuono,Superschall,Supersónico,초음파,超音波,超音波
49,ソニックブーム,Sonic Boom,Sonic Boom,Sonicboom,Ultraschall,Bomba Sónica,소닉붐,音爆,音爆
50,かなしばり,Disable,Entrave,Inibitore,Aussetzer,Anulación,사슬묶기,定身法,定身法
51,ようかいえき,Acid,Acide,Acido,Säure,Ácido,용해액,溶解液,溶解液
52,ひのこ,Ember,Flammèche,Braciere,Glut,Ascuas,불꽃세례,火花,火花
53,かえんほうしゃ,Flamethrower,Lance-Flammes,Lanciafiamme,Flammenwurf,Lanzallamas,화염방사,喷射火焰,噴射火焰
54,しろいきり,Mist,Brume,Nebbia,Weißnebel,Neblina,흰안개,白雾,白霧
55,みずでっぽう,Water Gun,Pistolet à O,Pistolacqua,Aquaknarre,Pistola Agua,물대포,水枪,水槍
56,ハイドロポンプ,Hydro Pump,Hydrocanon,Idropompa,Hydropumpe,Hidrobomba,하이드로펌프,水炮,水炮
57,なみのり,Surf,Surf,Surf,Surfer,Surf,파도타기,冲浪,衝浪
58,れいとうビーム,Ice Beam,Laser Glace,Geloraggio,Eisstrahl,Rayo Hielo,냉동빔,冰冻光束,冰凍光束
59,ふぶき,Blizzard,Blizzard,Bora,Blizzard,Ventisca,눈보라,暴风雪,暴風雪
60,サイケこうせん,Psybeam,Rafale Psy,Psicoraggio,Psystrahl,Psicorrayo,환상빔,幻象光线,幻象光線
61,バブルこうせん,Bubble Beam,Bulles d'O,Bollaraggio,Blubbstrahl,Rayo Burbuja,거품광선,泡沫光线,泡沫光線
62,オーロラビーム,Aurora Beam,Onde Boréale,Raggiaurora,Aurorastrahl,Rayo Aurora,오로라빔,极光束,極光束
63,はかいこうせん,Hyper Beam,Ultralaser,Iper Raggio,Hyperstrahl,Hiperrayo,파괴광선,破坏光线,破壞光線
64,つつく,Peck,Picpic,Beccata,Pikser,Picotazo,쪼기,啄,啄
65,ドリルくちばし,Drill Peck,Bec Vrille,Perforbecco,Bohrschnabel,Pico Taladro,회전부리,啄钻,啄鑽
66,じごくぐるま,Submission,Sacrifice,Sottomissione,Überroller,Sumisión,지옥의바퀴,深渊翻滚,地獄翻滾
67,けたぐり,Low Kick,Balayage,Colpo Basso,Fußkick,Patada Baja,안다리걸기,踢倒,踢倒
68,カウンター,Counter,Riposte,Contrattacco,Konter,Contraataque,카운터,双倍奉还,雙倍奉還
69,ちきゅうなげ,Seismic Toss,Frappe Atlas,Movim. Sismico,Geowurf,Sísmico,지구던지기,地球上投,地球上投
70,かいりき,Strength,Force,Forza,Stärke,Fuerza,괴력,怪力,怪力
71,すいとる,Absorb,Vole-Vie,Assorbimento,Absorber,Absorber,흡수,吸取,吸取
72,メガドレイン,Mega Drain,Méga-Sangsue,Megassorbimento,Megasauger,Megaagotar,메가드레인,超级吸取,超級吸取
73,やどりぎのタネ,Leech Seed,Vampigraine,Parassiseme,Egelsamen,Drenadoras,씨뿌리기,寄生种子,寄生種子
74,せいちょう,Growth,Croissance,Crescita,Wachstum,Desarrollo,성장,生长,生長
75,はっぱカッター,Razor Leaf,Tranch'Herbe,Foglielama,Rasierblatt,Hoja Afilada,잎날가르기,飞叶快刀,飛葉快刀
76,ソーラービーム,Solar Beam,Lance-Soleil,Solarraggio,Solarstrahl,Rayo Solar,솔라빔,日光束,日光束
77,どくのこな,Poison Powder,Poudre Toxik,Velenpolvere,Giftpuder,Polvo Veneno,독가루,毒粉,毒粉
78,しびれごな,Stun Spore,Para-Spore,Paralizzante,Stachelspore,Paralizador,저리가루,麻痹粉,麻痺粉
79,ねむりごな,Sleep Powder,Poudre Dodo,Sonnifero,Schlafpuder,Somnífero,수면가루,催眠粉,催眠粉
80,はなびらのまい,Petal Dance,Danse Fleurs,Petalodanza,Blättertanz,Danza Pétalo,꽃잎댄스,花瓣舞,花瓣舞
81,いとをはく,String Shot,Sécrétion,Millebave,Fadenschuss,Disparo Demora,실뿜기,吐丝,吐絲
82,りゅうのいかり,Dragon Rage,Draco-Rage,Ira di Drago,Drachenwut,Furia Dragón,용의분노,龙之怒,龍之怒
83,ほのおのうず,Fire Spin,Danse Flammes,Turbofuoco,Feuerwirbel,Giro Fuego,회오리불꽃,火焰旋涡,火焰旋渦
84,でんきショック,Thunder Shock,Éclair,Tuonoshock,Donnerschock,Impactrueno,전기쇼크,电击,電擊
85,１０まんボルト,Thunderbolt,Tonnerre,Fulmine,Donnerblitz,Rayo,10만볼트,十万伏特,十萬伏特
86,でんじは,Thunder Wave,Cage Éclair,Tuononda,Donnerwelle,Onda Trueno,전기자석파,电磁波,電磁波
87,かみなり,Thunder,Fatal-Foudre,Tuono,Donner,Trueno,번개,打雷,打雷
88,いわおとし,Rock Throw,Jet-Pierres,Sassata,Steinwurf,Lanzarrocas,돌떨구기,落石,落石
89,じしん,Earthquake,Séisme,Terremoto,Erdbeben,Terremoto,지진,地震,地震
90,じわれ,Fissure,Abîme,Abisso,Geofissur,Fisura,땅가르기,地裂,地裂
91,あなをほる,Dig,Tunnel,Fossa,Schaufler,Excavar,구멍파기,挖洞,挖洞
92,どくどく,Toxic,Toxik,Tossina,Toxin,Tóxico,맹독,剧毒,劇毒
93,ねんりき,Confusion,Choc Mental,Confusione,Konfusion,Confusión,염동력,念力,念力
94,サイコキネシス,Psychic,Psyko,Psichico,Psychokinese,Psíquico,사이코키네시스,精神强念,精神強念
95,さいみんじゅつ,Hypnosis,Hypnose,Ipnosi,Hypnose,Hipnosis,최면술,催眠术,催眠術
96,ヨガのポーズ,Meditate,Yoga,Meditazione,Meditation,Meditación,요가포즈,瑜伽姿势,瑜伽姿勢
97,こうそくいどう,Agility,Hâte,Agilità,Agilität,Agilidad,고속이동,高速移动,高速移動
98,でんこうせっか,Quick Attack,Vive-Attaque,Attacco Rapido,Ruckzuckhieb,Ataque Rápido,전광석화,电光一闪,電光一閃
99,いかり,Rage,Frénésie,Ira,Raserei,Furia,분노,愤怒,憤怒
100,テレポート,Teleport,Téléport,Teletrasporto,Teleport,Teletransporte,순간이동,瞬间移动,瞬間移動
101,ナイトヘッド,Night Shade,Ombre Nocturne,Ombra Notturna,Nachtnebel,Tinieblas,나이트헤드,黑夜魔影,黑夜魔影
102,ものまね,Mimic,Copie,Mimica,Mimikry,Mimético,흉내내기,模仿,模仿
103,いやなおと,Screech,Grincement,Stridio,Kreideschrei,Chirrido,싫은소리,刺耳声,刺耳聲
104,かげぶんしん,Double Team,Reflet,Doppioteam,Doppelteam,Doble Equipo,그림자분신,影子分身,影子分身
105,じこさいせい,Recover,Soin,Ripresa,Genesung,Recuperación,HP회복,自我再生,自我再生
106,かたくなる,Harden,Armure,Rafforzatore,Härtner,Fortaleza,단단해지기,变硬,變硬
107,ちいさくなる,Minimize,Lilliput,Minimizzato,Komprimator,Reducción,작아지기,变小,變小
108,えんまく,Smokescreen,Brouillard,Muro di Fumo,Rauchwolke,Pantalla de Humo,연막,烟幕,煙幕
109,あやしいひかり,Confuse Ray,Onde Folie,Stordiraggio,Konfusstrahl,Rayo Confuso,이상한빛,奇异之光,奇異之光
110,からにこもる,Withdraw,Repli,Ritirata,Panzerschutz,Refugio,껍질에숨기,缩入壳中,縮入殼中
111,まるくなる,Defense Curl,Boul'Armure,Ricciolscudo,Einigler,Rizo Defensa,웅크리기,变圆,變圓
112,バリアー,Barrier,Bouclier,Barriera,Barriere,Barrera,배리어,屏障,屏障
113,ひかりのかべ,Light Screen,Mur Lumière,Schermoluce,Lichtschild,Pantalla de Luz,빛의장막,光墙,光牆
114,くろいきり,Haze,Buée Noire,Nube,Dunkelnebel,Niebla,흑안개,黑雾,黑霧
115,リフレクター,Reflect,Protection,Riflesso,Reflektor,Reflejo,리플렉터,反射壁,反射壁
116,きあいだめ,Focus Energy,Puissance,Focalenergia,Energiefokus,Foco Energía,기충전,聚气,聚氣
117,がまん,Bide,Patience,Pazienza,Geduld,Venganza,참기,忍耐,忍耐
118,ゆびをふる,Metronome,Métronome,Metronomo,Metronom,Metrónomo,손가락흔들기,挥指,揮指
119,オウムがえし,Mirror Move,Mimique,Speculmossa,Spiegeltrick,Espejo,따라하기,鹦鹉学舌,鸚鵡學舌
120,じばく,Self-Destruct,Destruction,Autodistruzione,Finale,Autodestrucción,자폭,玉石俱碎,自爆
121,タマゴばくだん,Egg Bomb,Bombe Œuf,Uovobomba,Eierbombe,Bomba Huevo,알폭탄,炸蛋,炸蛋
122,したでなめる,Lick,Léchouille,Leccata,Schlecker,Lengüetazo,핥기,舌舔,舌舔
123,スモッグ,Smog,Purédpois,Smog,Smog,Polución,스모그,浊雾,濁霧
124,ヘドロこうげき,Sludge,Détritus,Fango,Schlammbad,Residuos,오물공격,污泥攻击,污泥攻擊
125,ホネこんぼう,Bone Club,Massd'Os,Ossoclava,Knochenkeule,Hueso Palo,뼈다귀치기,骨棒,骨棒
126,だいもんじ,Fire Blast,Déflagration,Fuocobomba,Feuersturm,Llamarada,불대문자,大字爆炎,大字爆炎
127,たきのぼり,Waterfall,Cascade,Cascata,Kaskade,Cascada,폭포오르기,攀瀑,攀瀑
128,からではさむ,Clamp,Claquoir,Tenaglia,Schnapper,Tenaza,껍질끼우기,贝壳夹击,貝殼夾擊
129,スピードスター,Swift,Météores,Comete,Sternschauer,Meteoros,스피드스타,高速星星,高速星星
130,ロケットずつき,Skull Bash,Coud'Krâne,Capocciata,Schädelwumme,Cabezazo,로켓박치기,火箭头锤,火箭頭錘
131,とげキャノン,Spike Cannon,Picanon,Sparalance,Dornkanone,Clavo Cañón,가시대포,尖刺加农炮,尖刺加農炮
132,からみつく,Constrict,Constriction,Limitazione,Umklammerung,Restricción,휘감기,缠绕,纏繞
133,ドわすれ,Amnesia,Amnésie,Amnesia,Amnesie,Amnesia,망각술,瞬间失忆,瞬間失憶
134,スプーンまげ,Kinesis,Télékinésie,Cinèsi,Psykraft,Kinético,숟가락휘기,折弯汤匙,折彎湯匙
135,タマゴうみ,Soft-Boiled,E-Coque,Covauova,Weichei,Ovocuración,알낳기,生蛋,生蛋
136,とびひざげり,High Jump Kick,Pied Voltige,Calcinvolo,Turmkick,Pat. Salto Alta,무릎차기,飞膝踢,飛膝踢
137,へびにらみ,Glare,Regard Médusant,Sguardo Feroce,Schlangenblick,Deslumbrar,뱀눈초리,大蛇瞪眼,大蛇瞪眼
138,ゆめくい,Dream Eater,Dévorêve,Mangiasogni,Traumfresser,Comesueños,꿈먹기,食梦,食夢
139,どくガス,Poison Gas,Gaz Toxik,Velenogas,Giftwolke,Gas Venenoso,독가스,毒瓦斯,毒瓦斯
140,たまなげ,Barrage,Pilonnage,Sferattacco,Stakkato,Bombardeo,구슬던지기,投球,投球
141,きゅうけつ,Leech Life,Vampirisme,Sanguisuga,Blutsauger,Chupavidas,흡혈,汲取,吸血
142,あくまのキッス,Lovely Kiss,Grobisou,Demonbacio,Todeskuss,Beso Amoroso,악마의키스,恶魔之吻,惡魔之吻
143,ゴッドバード,Sky Attack,Piqué,Aeroattacco,Himmelsfeger,Ataque Aéreo,불새,神鸟猛击,神鳥猛擊
144,へんしん,Transform,Morphing,Trasformazione,Wandler,Transformación,변신,变身,變身
145,あわ,Bubble,Écume,Bolla,Blubber,Burbuja,거품,泡沫,泡沫
146,ピヨピヨパンチ,Dizzy Punch,Uppercut,Stordipugno,Irrschlag,Puño Mareo,잼잼펀치,迷昏拳,迷昏拳
147,キノコのほうし,Spore,Spore,Spora,Pilzspore,Espora,버섯포자,蘑菇孢子,蘑菇孢子
148,フラッシュ,Flash,Flash,Flash,Blitz,Destello,플래시,闪光,閃光
149,サイコウェーブ,Psywave,Vague Psy,Psiconda,Psywelle,Psicoonda,사이코웨이브,精神波,精神波
150,はねる,Splash,Trempette,Splash,Platscher,Salpicadura,튀어오르기,跃起,躍起
151,とける,Acid Armor,Acidarmure,Scudo Acido,Säurepanzer,Armadura Ácida,녹기,溶化,溶化
152,クラブハンマー,Crabhammer,Pince-Masse,Martellata,Krabbhammer,Martillazo,집게해머,蟹钳锤,蟹鉗錘
153,だいばくはつ,Explosion,Explosion,Esplosione,Explosion,Explosión,대폭발,大爆炸,大爆炸
154,みだれひっかき,Fury Swipes,Combo-Griffe,Sfuriate,Kratzfurie,Golpes Furia,마구할퀴기,乱抓,亂抓
155,ホネブーメラン,Bonemerang,Osmerang,Ossomerang,Knochmerang,Huesomerang,뼈다귀부메랑,骨头回力镖,骨頭回力鏢
156,ねむる,Rest,Repos,Riposo,Erholung,Descanso,잠자기,睡觉,睡覺
157,いわなだれ,Rock Slide,Éboulement,Frana,Steinhagel,Avalancha,스톤샤워,岩崩,岩崩
158,ひっさつまえば,Hyper Fang,Croc de Mort,Iperzanna,Hyperzahn,Hipercolmillo,필살앞니,终结门牙,必殺門牙
159,かくばる,Sharpen,Affûtage,Affilatore,Schärfer,Afilar,각지기,棱角化,稜角化
160,テクスチャー,Conversion,Conversion,Conversione,Umwandlung,Conversión,텍스처,纹理,紋理
161,トライアタック,Tri Attack,Triplattaque,Tripletta,Triplette,Triataque,트라이어택,三重攻击,三重攻擊
162,いかりのまえば,Super Fang,Croc Fatal,Superzanna,Superzahn,Superdiente,분노의앞니,愤怒门牙,憤怒門牙
163,きりさく,Slash,Tranche,Lacerazione,Schlitzer,Cuchillada,베어가르기,劈开,劈開
164,みがわり,Substitute,Clonage,Sostituto,Delegator,Sustituto,대타출동,替身,替身
165,わるあがき,Struggle,Lutte,Scontro,Verzweifler,Forcejeo,발버둥,挣扎,掙扎
166,スケッチ,Sketch,Gribouille,Schizzo,Nachahmer,Esquema,스케치,写生,寫生
167,トリプルキック,Triple Kick,Triple Pied,Triplocalcio,Dreifachkick,Triple Patada,트리플킥,三连踢,三連踢
168,どろぼう,Thief,Larcin,Furto,Raub,Ladrón,도둑질,小偷,小偷
169,クモのす,Spider Web,Toile,Ragnatela,Spinnennetz,Telaraña,거미집,蛛网,蛛網
170,こころのめ,Mind Reader,Lire-Esprit,Leggimente,Willensleser,Telépata,마음의눈,心之眼,心之眼
171,あくむ,Nightmare,Cauchemar,Incubo,Nachtmahr,Pesadilla,악몽,恶梦,惡夢
172,かえんぐるま,Flame Wheel,Roue de Feu,Ruotafuoco,Flammenrad,Rueda Fuego,화염바퀴,火焰轮,火焰輪
173,いびき,Snore,Ronflement,Russare,Schnarcher,Ronquido,코골기,打鼾,打鼾
174,のろい,Curse,Malédiction,Maledizione,Fluch,Maldición,저주,咒术,詛咒
175,じたばた,Flail,Gigotage,Flagello,Dreschflegel,Azote,바둥바둥,抓狂,抓狂
176,テクスチャー２,Conversion 2,Conversion 2,Conversione2,Umwandlung 2,Conversión2,텍스처2,纹理２,紋理２
177,エアロブラスト,Aeroblast,Aéroblast,Aerocolpo,Luftstoß,Aerochorro,에어로블라스트,气旋攻击,氣旋攻擊
178,わたほうし,Cotton Spore,Spore Coton,Cotonspora,Baumwollsaat,Esporagodón,목화포자,棉孢子,棉孢子
179,きしかいせい,Reversal,Contre,Contropiede,Gegenschlag,Inversión,기사회생,绝处逢生,起死回生
180,うらみ,Spite,Dépit,Dispetto,Groll,Rencor,원한,怨恨,怨恨
181,こなゆき,Powder Snow,Poudreuse,Polneve,Pulverschnee,Nieve Polvo,눈싸라기,细雪,細雪
182,まもる,Protect,Abri,Protezione,Schutzschild,Protección,방어,守住,守住
183,マッハパンチ,Mach Punch,Mach Punch,Pugnorapido,Tempohieb,Ultrapuño,마하펀치,音速拳,音速拳
184,こわいかお,Scary Face,Grimace,Visotruce,Grimasse,Cara Susto,겁나는얼굴,可怕面孔,鬼面
185,だましうち,Feint Attack,Feinte,Finta,Finte,Finta,속여때리기,出奇一击,出奇一擊
186,てんしのキッス,Sweet Kiss,Doux Baiser,Dolcebacio,Bitterkuss,Beso Dulce,천사의키스,天使之吻,天使之吻
187,はらだいこ,Belly Drum,Cognobidon,Panciamburo,Bauchtrommel,Tambor,배북,腹鼓,腹鼓
188,ヘドロばくだん,Sludge Bomb,Bombe Beurk,Fangobomba,Matschbombe,Bomba Lodo,오물폭탄,污泥炸弹,污泥炸彈
189,どろかけ,Mud-Slap,Coud'Boue,Fangosberla,Lehmschelle,Bofetón Lodo,진흙뿌리기,掷泥,擲泥
190,オクタンほう,Octazooka,Octazooka,Octazooka,Octazooka,Pulpocañón,대포무노포,章鱼桶炮,章魚桶炮
191,まきびし,Spikes,Picots,Punte,Stachler,Púas,압정뿌리기,撒菱,撒菱
192,でんじほう,Zap Cannon,Élecanon,Elettrocannone,Blitzkanone,Electrocañón,전자포,电磁炮,電磁炮
193,みやぶる,Foresight,Clairvoyance,Preveggenza,Scharfblick,Profecía,꿰뚫어보기,识破,識破
194,みちづれ,Destiny Bond,Lien du Destin,Destinobbligato,Abgangsbund,Mismo Destino,길동무,同命,同命
195,ほろびのうた,Perish Song,Requiem,Ultimocanto,Abgesang,Canto Mortal,멸망의노래,终焉之歌,滅亡之歌
196,こごえるかぜ,Icy Wind,Vent Glace,Ventogelato,Eissturm,Viento Hielo,얼어붙은바람,冰冻之风,冰凍之風
197,みきり,Detect,Détection,Individua,Scanner,Detección,판별,看穿,看穿
198,ボーンラッシュ,Bone Rush,Charge Os,Ossoraffica,Knochenhatz,Ataque Óseo,본러시,骨棒乱打,骨棒亂打
199,ロックオン,Lock-On,Verrouillage,Localizza,Zielschuss,Fijar Blanco,록온,锁定,鎖定
200,げきりん,Outrage,Colère,Oltraggio,Wutanfall,Enfado,역린,逆鳞,逆鱗
201,すなあらし,Sandstorm,Tempête de Sable,Terrempesta,Sandsturm,Tormenta Arena,모래바람,沙暴,沙暴
202,ギガドレイン,Giga Drain,Giga-Sangsue,Gigassorbimento,Gigasauger,Gigadrenado,기가드레인,终极吸取,終極吸取
203,こらえる,Endure,Ténacité,Resistenza,Ausdauer,Aguante,버티기,挺住,挺住
204,あまえる,Charm,Charme,Fascino,Charme,Encanto,애교부리기,撒娇,撒嬌
205,ころがる,Rollout,Roulade,Rotolamento,Walzer,Rodar,구르기,滚动,滾動
206,みねうち,False Swipe,Faux-Chage,Falsofinale,Trugschlag,Falso Tortazo,칼등치기,点到为止,點到為止
207,いばる,Swagger,Vantardise,Bullo,Angeberei,Contoneo,뽐내기,虚张声势,虛張聲勢
208,ミルクのみ,Milk Drink,Lait à Boire,Buonlatte,Milchgetränk,Batido,우유마시기,喝牛奶,喝牛奶
209,スパーク,Spark,Étincelle,Scintilla,Funkensprung,Chispa,스파크,电光,電光
210,れんぞくぎり,Fury Cutter,Taillade,Tagliofuria,Zornklinge,Corte Furia,연속자르기,连斩,連斬
211,はがねのつばさ,Steel Wing,Ailes d'Acier,Alacciaio,Stahlflügel,Ala de Acero,강철날개,钢翼,鋼翼
212,くろいまなざし,Mean Look,Regard Noir,Malosguardo,Horrorblick,Mal de Ojo,검은눈빛,黑色目光,黑色目光
213,メロメロ,Attract,Attraction,Attrazione,Anziehung,Atracción,헤롱헤롱,迷人,迷人
214,ねごと,Sleep Talk,Blabla Dodo,Sonnolalia,Schlafrede,Sonámbulo,잠꼬대,梦话,夢話
215,いやしのすず,Heal Bell,Glas de Soin,Rintoccasana,Vitalglocke,Cascabel Cura,치료방울,治愈铃声,治癒鈴聲
216,おんがえし,Return,Retour,Ritorno,Rückkehr,Retribución,은혜갚기,报恩,報恩
217,プレゼント,Present,Cadeau,Regalino,Geschenk,Presente,프레젠트,礼物,禮物
218,やつあたり,Frustration,Frustration,Frustrazione,Frustration,Frustración,화풀이,迁怒,遷怒
219,しんぴのまもり,Safeguard,Rune Protect,Salvaguardia,Bodyguard,Velo Sagrado,신비의부적,神秘守护,神秘守護
220,いたみわけ,Pain Split,Balance,Malcomune,Leidteiler,Divide Dolor,아픔나누기,分担痛楚,分擔痛楚
221,せいなるほのお,Sacred Fire,Feu Sacré,Magifuoco,Läuterfeuer,Fuego Sagrado,성스러운불꽃,神圣之火,神聖之火
222,マグニチュード,Magnitude,Ampleur,Magnitudo,Intensität,Magnitud,매그니튜드,震级,震級
223,ばくれつパンチ,Dynamic Punch,Dynamo-Poing,Dinamipugno,Wuchtschlag,Puño Dinámico,폭발펀치,爆裂拳,爆裂拳
224,メガホーン,Megahorn,Mégacorne,Megacorno,Vielender,Megacuerno,메가혼,超级角击,超級角擊
225,りゅうのいぶき,Dragon Breath,Draco-Souffle,Dragospiro,Feuerodem,Dragoaliento,용의숨결,龙息,龍息
226,バトンタッチ,Baton Pass,Relais,Staffetta,Stafette,Relevo,배턴터치,接棒,接棒
227,アンコール,Encore,Encore,Ripeti,Zugabe,Otra Vez,앙코르,再来一次,再來一次
228,おいうち,Pursuit,Poursuite,Inseguimento,Verfolgung,Persecución,따라가때리기,追打,追打
229,こうそくスピン,Rapid Spin,Tour Rapide,Rapigiro,Turbodreher,Giro Rápido,고속스핀,高速旋转,高速旋轉
230,あまいかおり,Sweet Scent,Doux Parfum,Profumino,Lockduft,Dulce Aroma,달콤한향기,甜甜香气,甜甜香氣
231,アイアンテール,Iron Tail,Queue de Fer,Codacciaio,Eisenschweif,Cola Férrea,아이언테일,铁尾,鐵尾
232,メタルクロー,Metal Claw,Griffe Acier,Ferrartigli,Metallklaue,Garra Metal,메탈클로,金属爪,金屬爪
233,あてみなげ,Vital Throw,Corps Perdu,Vitaltiro,Überwurf,Llave Vital,받아던지기,借力摔,借力摔
234,あさのひざし,Morning Sun,Aurore,Mattindoro,Morgengrauen,Sol Matinal,아침햇살,晨光,晨光
235,こうごうせい,Synthesis,Synthèse,Sintesi,Synthese,Síntesis,광합성,光合作用,光合作用
236,つきのひかり,Moonlight,Rayon Lune,Lucelunare,Mondschein,Luz Lunar,달빛,月光,月光
237,めざめるパワー,Hidden Power,Puissance Cachée,Introforza,Kraftreserve,Poder Oculto,잠재파워,觉醒力量,覺醒力量
238,クロスチョップ,Cross Chop,Coup Croix,Incrocolpo,Kreuzhieb,Tajo Cruzado,크로스촙,十字劈,十字劈
239,たつまき,Twister,Ouragan,Tornado,Windhose,Ciclón,회오리,龙卷风,龍捲風
240,あまごい,Rain Dance,Danse Pluie,Pioggiadanza,Regentanz,Danza Lluvia,비바라기,求雨,求雨
241,にほんばれ,Sunny Day,Zénith,Giornodisole,Sonnentag,Día Soleado,쾌청,大晴天,大晴天
